task	task_name
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
0	rest
0	rest
0	rest
0	rest
0	rest
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
0	rest
0	rest
0	rest
0	rest
0	rest
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
0	rest
0	rest
0	rest
0	rest
0	rest
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
0	rest
0	rest
0	rest
0	rest
0	rest
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
0	rest
0	rest
0	rest
0	rest
0	rest
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
0	rest
0	rest
0	rest
0	rest
0	rest
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
1	scissors
0	rest
0	rest
0	rest
0	rest
0	rest
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
0	rest
0	rest
0	rest
0	rest
0	rest
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
7	bottle
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
0	rest
0	rest
0	rest
0	rest
0	rest
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
0	rest
0	rest
0	rest
0	rest
0	rest
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
2	face
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
8	chair
0	rest
0	rest
0	rest
0	rest
0	rest
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
3	cat
0	rest
0	rest
0	rest
0	rest
0	rest
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
5	house
0	rest
0	rest
0	rest
0	rest
0	rest
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
6	scrambledpix
0	rest
0	rest
0	rest
0	rest
0	rest
0	rest
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
4	shoe
0	rest
0	rest
0	rest
0	rest
0	rest
